original_overlay_path,archived_overlay_path,relative_file_path,size_bytes,sha256,phase25_relationship,source_verified,archive_verified
market_intelligence_v3_0_overlay,repository_root/market_intelligence_v3_0_overlay,docs/market_intelligence_v3_0.md,1414,6a861d16e27cbdac5037533e792a8182e6bb13b34cb07e454fe222e956c85d61,IDENTICAL,yes,yes
market_intelligence_v3_0_overlay,repository_root/market_intelligence_v3_0_overlay,scripts/fetch_historical_intelligence_sources.py,2721,6b0e33a780550b03c6501e100c36842bb431e53aa3ada072424741d1875e1285,DIFFERENT,yes,yes
market_intelligence_v3_0_overlay,repository_root/market_intelligence_v3_0_overlay,src/backtester/intelligence/historical_source_collector.py,6966,4114bb8a88f422349212b32607290563f70694543f202053148dc551a920240c,DIFFERENT,yes,yes
market_intelligence_v4_4_overlay,repository_root/market_intelligence_v4_4_overlay,docs/market_intelligence_v4_4.md,2320,31dfd62e79a5c2748ed4ce07d3c17660ca87050c5333cfbdc905f673efe61ba8,DIFFERENT,yes,yes
market_intelligence_v4_4_overlay,repository_root/market_intelligence_v4_4_overlay,scripts/sweep_ml_policy_strength.py,19497,69e84d9dc2f05f851f26d017600c5bc8734379f8dfafadbeff7afd25675fe3fb,DIFFERENT,yes,yes
market_intelligence_v4_5_overlay,repository_root/market_intelligence_v4_5_overlay,docs/market_intelligence_v4_5.md,2381,9c29a393f68b801f150ec993e0c99331c396dad9408a596c34e9051eb3b00fee,DIFFERENT,yes,yes
market_intelligence_v4_5_overlay,repository_root/market_intelligence_v4_5_overlay,scripts/apply_ml_policy_strength.py,10374,dfb27774642a44a28f2d56dac233044878c84a285497a94384e690bbbb8263ba,DIFFERENT,yes,yes
market_intelligence_v4_6_overlay,repository_root/market_intelligence_v4_6_overlay,docs/market_intelligence_v4_6.md,2517,4e4b7de8d23b64548582629e25d2af26a9439a19b70827aa8114240ac46096e5,DIFFERENT,yes,yes
market_intelligence_v4_6_overlay,repository_root/market_intelligence_v4_6_overlay,scripts/apply_ml_policy_strength.py,11201,151b6d661c24a9cef28b0607aed9c54982fadf83690adc0c541a0c8ddaf29b9a,DIFFERENT,yes,yes
market_intelligence_v4_6_overlay,repository_root/market_intelligence_v4_6_overlay,scripts/sweep_ml_policy_strength.py,20409,7352774f6baf110c216a8d1049bc8800c0a7a0d8cbc23f1df9a457c18a5a17d6,DIFFERENT,yes,yes
market_intelligence_v4_7_overlay,repository_root/market_intelligence_v4_7_overlay,docs/market_intelligence_v4_7.md,2524,e010e4c70bf22fabbeece237658b67ce49bdb1563b68966dc89c4d6d532b35dc,DIFFERENT,yes,yes
market_intelligence_v4_7_overlay,repository_root/market_intelligence_v4_7_overlay,scripts/validate_ml_policy_candidate.py,12258,1442233996c9ad773e1be6546534f5a629caa6acce6ed79c698c4416f1396155,DIFFERENT,yes,yes
market_intelligence_v4_8_overlay,repository_root/market_intelligence_v4_8_overlay,docs/market_intelligence_v4_8.md,3324,c1be7e1b1b81e4fe077acca6a976f09e777b1a9133782bba67caab3b347d3494,DIFFERENT,yes,yes
market_intelligence_v4_8_overlay,repository_root/market_intelligence_v4_8_overlay,scripts/permutation_test_ml_policy.py,11878,bb0bd0e784839a3e4c54414a707445b2601cc56029b8afd41d01b877032a9d46,DIFFERENT,yes,yes
